CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.032 [0, 0.179];0.082 [0.002, 0.26];0.05 [-0.17, 0.267];0.74;2.8
0.011 [0, 0.026];0.023 [0.001, 0.046];0.012 [-0.022, 0.04];0.8;4
0.046 [0, 0.2];0.07 [0.004, 0.243];0.023 [-0.16, 0.239];0.65;1.9
0.014 [0.001, 0.038];0.029 [0.007, 0.054];0.015 [-0.016, 0.05];0.83;4.9
0.017 [0.002, 0.045];0.035 [0.01, 0.071];0.017 [-0.023, 0.053];0.84;5.2
0.209 [0.011, 0.482];0.22 [0.031, 0.481];0.011 [-0.352, 0.312];0.5;1
0.114 [0.002, 0.36];0.165 [0.017, 0.352];0.052 [-0.282, 0.351];0.67;2
0.124 [0.001, 0.341];0.124 [0.01, 0.305];0 [-0.339, 0.234];0.54;1.2
0.125 [0, 0.314];0.154 [0.004, 0.377];0.029 [-0.218, 0.325];0.59;1.4
0.057 [0, 0.21];0.078 [0.005, 0.274];0.021 [-0.165, 0.255];0.66;1.9
