LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.045 [0.000, 0.170]	0.085 [0.029, 0.148]	0.039 [-0.106, 0.145]	0.79	3.7
0.006 [0.000, 0.016]	0.074 [0.025, 0.125]	0.068 [0.010, 0.123]	0.98	63.3
0.012 [0.000, 0.030]	0.080 [0.025, 0.155]	0.069 [0.004, 0.169]	0.97	33.6
0.007 [0.000, 0.018]	0.074 [0.022, 0.127]	0.067 [0.017, 0.121]	1.00	449.0
0.037 [0.000, 0.197]	0.104 [0.036, 0.184]	0.067 [-0.108, 0.208]	0.87	6.9
0.179 [0.001, 0.384]	0.145 [0.033, 0.292]	-0.034 [-0.281, 0.226]	0.43	0.8
0.084 [0.000, 0.257]	0.119 [0.036, 0.221]	0.035 [-0.182, 0.201]	0.68	2.1
0.117 [0.000, 0.297]	0.130 [0.055, 0.234]	0.013 [-0.191, 0.199]	0.59	1.4
0.076 [0.000, 0.235]	0.118 [0.040, 0.213]	0.042 [-0.160, 0.204]	0.72	2.6
0.041 [0.000, 0.148]	0.120 [0.051, 0.195]	0.078 [-0.087, 0.185]	0.88	7.2
