LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.421 [0.257, 0.584]	0.660 [0.454, 0.816]	0.239 [-0.006, 0.464]	0.96	24.0
0.443 [0.241, 0.630]	0.709 [0.518, 0.840]	0.265 [-0.006, 0.526]	0.97	32.3
0.459 [0.334, 0.586]	0.728 [0.618, 0.833]	0.269 [0.090, 0.426]	1.00	449.0
0.440 [0.281, 0.612]	0.721 [0.589, 0.836]	0.281 [0.051, 0.468]	0.99	74.0
0.425 [0.274, 0.587]	0.677 [0.470, 0.831]	0.252 [-0.001, 0.477]	0.97	33.6
0.426 [0.306, 0.575]	0.706 [0.553, 0.823]	0.281 [0.082, 0.463]	0.99	149.0
0.448 [0.304, 0.599]	0.689 [0.526, 0.824]	0.241 [-0.009, 0.432]	0.97	32.3
0.468 [0.326, 0.595]	0.725 [0.605, 0.865]	0.257 [0.081, 0.461]	0.98	59.0
0.430 [0.280, 0.584]	0.663 [0.464, 0.824]	0.234 [0.000, 0.475]	0.96	23.3
0.438 [0.264, 0.590]	0.670 [0.460, 0.846]	0.231 [-0.043, 0.469]	0.95	17.4
