CS_LR1_beta_env	CS_LR1_R2_env	CS_LR1_Q	CS_LR1_pQ	CS_LR1_BF
1.142 [0.961, 1.342]	0.435 [0.328, 0.515]	0.135 [0.007, 0.250]	0.97	32.3
1.189 [0.887, 1.426]	0.419 [0.324, 0.489]	0.136 [-0.008, 0.239]	0.97	24.0
0.979 [0.870, 1.127]	0.404 [0.352, 0.460]	0.104 [0.010, 0.186]	0.98	49.0
0.960 [0.781, 1.111]	0.367 [0.293, 0.426]	0.040 [-0.093, 0.144]	0.79	-
0.983 [0.871, 1.148]	0.444 [0.334, 0.509]	0.078 [-0.048, 0.197]	0.91	32.3
1.139 [1.000, 1.299]	0.461 [0.380, 0.557]	0.118 [0.024, 0.310]	0.98	49.0
1.001 [0.898, 1.090]	0.497 [0.429, 0.558]	0.099 [-0.015, 0.228]	0.93	49.0
1.040 [0.865, 1.244]	0.360 [0.285, 0.439]	0.080 [-0.043, 0.170]	0.90	-
0.895 [0.818, 1.005]	0.457 [0.363, 0.523]	0.040 [-0.075, 0.180]	0.75	-
1.091 [0.834, 1.287]	0.367 [0.264, 0.437]	0.038 [-0.047, 0.185]	0.75	-
