CS_R2_null;CS_R2_env;CS_Q;CS_pQ;CS_BF
0.001 [0, 0.001];0.135 [0.135, 0.135];0.134 [0.134, 0.135];1;Inf
0.032 [0.013, 0.058];0.019 [0.019, 0.019];-0.013 [-0.04, 0.006];0.14;0.2
0.013 [0.001, 0.023];0.039 [0.039, 0.039];0.026 [0.016, 0.038];0.98;49
0.049 [0.014, 0.073];0.047 [0.047, 0.047];-0.002 [-0.027, 0.033];0.41;0.7
0.045 [0.019, 0.088];0.055 [0.055, 0.055];0.01 [-0.033, 0.036];0.73;2.7
0.053 [0.018, 0.103];0.054 [0.054, 0.054];0.001 [-0.049, 0.037];0.57;1.3
0.03 [0.01, 0.053];0.09 [0.09, 0.09];0.06 [0.037, 0.08];1;Inf
0.014 [0.003, 0.03];0.058 [0.058, 0.058];0.044 [0.027, 0.055];1;Inf
0.001 [0, 0.005];0.032 [0.032, 0.032];0.031 [0.028, 0.032];1;Inf
0.024 [0.004, 0.045];0.067 [0.067, 0.067];0.043 [0.022, 0.063];1;Inf
0.095 [0.04, 0.17];0.131 [0.131, 0.131];0.036 [-0.039, 0.091];0.85;5.7
0.008 [0.001, 0.017];0.037 [0.037, 0.037];0.029 [0.021, 0.036];1;Inf
0.075 [0.037, 0.113];0.099 [0.099, 0.099];0.024 [-0.015, 0.061];0.91;10.1
0.049 [0.019, 0.073];0.089 [0.089, 0.089];0.04 [0.016, 0.07];0.99;99
0.027 [0.008, 0.049];0.146 [0.146, 0.146];0.119 [0.097, 0.138];1;Inf
0.03 [0.015, 0.05];0.133 [0.133, 0.133];0.103 [0.084, 0.118];1;Inf
0.119 [0.094, 0.143];0.056 [0.056, 0.056];-0.063 [-0.087, -0.038];0;0
0.01 [0.002, 0.02];0.101 [0.101, 0.101];0.092 [0.081, 0.099];1;Inf
0.01 [0.004, 0.017];0.029 [0.029, 0.029];0.02 [0.012, 0.026];1;Inf
0.076 [0.035, 0.111];0.069 [0.069, 0.069];-0.007 [-0.041, 0.034];0.37;0.6
0.091 [0.059, 0.129];0.12 [0.12, 0.12];0.03 [-0.009, 0.062];0.96;24
0.019 [0, 0.047];0.056 [0.056, 0.056];0.037 [0.009, 0.056];0.99;99
0.06 [0.032, 0.084];0.043 [0.043, 0.043];-0.017 [-0.041, 0.012];0.15;0.2
0.075 [0.042, 0.106];0.046 [0.046, 0.046];-0.029 [-0.06, 0.004];0.05;0.1
0.025 [0.01, 0.043];0.023 [0.023, 0.023];-0.002 [-0.02, 0.012];0.45;0.8
0.089 [0.049, 0.124];0.133 [0.133, 0.133];0.043 [0.009, 0.084];0.98;49
0.059 [0.028, 0.098];0.046 [0.046, 0.046];-0.013 [-0.052, 0.018];0.28;0.4
0.07 [0.03, 0.122];0.056 [0.056, 0.056];-0.014 [-0.066, 0.026];0.36;0.6
0.072 [0.026, 0.096];0.019 [0.019, 0.019];-0.053 [-0.077, -0.007];0;0
0.017 [0.008, 0.027];0.139 [0.139, 0.139];0.122 [0.112, 0.13];1;Inf
0.032 [0.001, 0.078];0.018 [0.018, 0.018];-0.014 [-0.06, 0.018];0.38;0.6
0.051 [0.024, 0.084];0.075 [0.075, 0.075];0.025 [-0.008, 0.051];0.9;9
0.112 [0.042, 0.201];0.074 [0.074, 0.074];-0.038 [-0.127, 0.032];0.22;0.3
0 [0, 0.001];0.099 [0.099, 0.099];0.099 [0.098, 0.099];1;Inf
0.047 [0.032, 0.064];0.102 [0.102, 0.102];0.055 [0.038, 0.071];1;Inf
0.056 [0.012, 0.097];0.072 [0.072, 0.072];0.016 [-0.025, 0.06];0.8;4
0.081 [0.043, 0.129];0.199 [0.199, 0.199];0.118 [0.07, 0.157];1;Inf
0.019 [0.002, 0.04];0.167 [0.167, 0.167];0.148 [0.127, 0.165];1;Inf
0.023 [0.012, 0.04];0.063 [0.063, 0.063];0.04 [0.022, 0.05];1;Inf
0.105 [0.071, 0.139];0.223 [0.223, 0.223];0.118 [0.085, 0.152];1;Inf
0.037 [0.022, 0.051];0.072 [0.072, 0.072];0.036 [0.021, 0.05];1;Inf
0.106 [0.062, 0.139];0.109 [0.109, 0.109];0.004 [-0.03, 0.048];0.56;1.3
0.074 [0.034, 0.11];0.024 [0.024, 0.024];-0.05 [-0.086, -0.01];0.02;0
0.004 [0, 0.007];0.123 [0.123, 0.123];0.119 [0.116, 0.123];1;Inf
0.011 [0.001, 0.029];0.145 [0.145, 0.145];0.134 [0.116, 0.144];1;Inf
0.073 [0.022, 0.127];0.153 [0.153, 0.153];0.08 [0.026, 0.131];1;Inf
0.022 [0.007, 0.037];0.095 [0.095, 0.095];0.073 [0.058, 0.088];1;Inf
0.089 [0.041, 0.134];0.255 [0.255, 0.255];0.166 [0.121, 0.214];1;Inf
0.018 [0.001, 0.044];0.033 [0.033, 0.033];0.015 [-0.011, 0.032];0.89;8.1
0.092 [0.039, 0.145];0.038 [0.038, 0.038];-0.054 [-0.107, -0.001];0.01;0
