CS_beta_env;CS_R2_env;CS_Q;CS_pQ;CS_BF
19.274;0.199;0.174;1;Inf
19.307;0.141;0.012;1;49
10.264;0.048;-0.047;0;-
6.369;0.03;0.027;1;1.2
3.431;0.007;-0.005;0;-
6.456;0.021;-0.029;0;-
17.451;0.121;0.004;1;24
15.738;0.126;0.073;1;99
7.789;0.052;-0.034;0;-
8.855;0.03;-0.023;0;-
16.054;0.146;0.029;1;99
12.166;0.108;-0.007;0;-
18.269;0.163;-0.01;0;-
11.332;0.067;-0.026;0;-
10.304;0.045;-0.037;0;-
9.538;0.055;0.027;1;1.4
12.302;0.068;-0.015;0;-
7.834;0.03;-0.005;0;-
14.135;0.1;-0.021;0;-
5.24;0.012;-0.03;0;-
13.278;0.078;-0.011;0;-
9.263;0.057;-0.029;0;-
12.455;0.106;-0.037;0;-
8.434;0.042;0.025;1;7.3
5.366;0.018;-0.012;0;-
14.618;0.082;-0.124;0;-
5.909;0.019;-0.001;0;-
8.802;0.03;-0.019;0;-
19.101;0.177;0.113;1;19
10.354;0.077;0.02;1;Inf
10.359;0.082;-0.099;0;-
10.192;0.045;0.003;1;11.5
17.205;0.137;0.11;1;Inf
4.581;0.013;-0.006;0;-
13.486;0.074;-0.112;0;-
11.365;0.05;0.021;1;3.5
14.583;0.134;-0.026;0;-
9.919;0.087;0.069;1;Inf
7.512;0.03;-0.013;0;-
12.666;0.081;-0.015;0;-
5.56;0.024;0.023;1;2.1
11.746;0.069;0.027;1;10.1
16.463;0.117;0.042;1;49
12.335;0.106;-0.049;0;-
16.02;0.133;0.105;1;Inf
9.227;0.034;-0.008;0;-
12.14;0.078;-0.004;0;-
16.703;0.104;0.005;1;11.5
17.125;0.142;0.114;1;24
10.532;0.072;0.067;1;99
