LC_beta_env;LC_R2_env;LC_Q;LC_pQ;LC_BF
9.208;0.181;0.132;1;32.3
8.505;0.202;0.029;1;13.3
8.354;0.123;-0.017;0;-
3.208;0.032;0.024;1;0.8
2.792;0.021;0.001;1;0.2
3.923;0.04;-0.009;0;-
7.813;0.163;0.031;1;99
7.379;0.144;0.064;1;49
4.649;0.071;-0.004;0;-
4.73;0.051;-0.007;0;-
7.179;0.148;0.025;1;19
7.135;0.129;0.01;1;24
8.528;0.189;0.008;1;Inf
5.546;0.089;0;1;4.9
6.447;0.097;-0.018;0;-
5.174;0.075;0.024;1;1
6.559;0.095;0.018;1;3.2
5.048;0.064;0.008;1;2.4
7.237;0.138;0.02;1;19
4.349;0.044;-0.028;0;-
7.247;0.113;0.013;1;15.7
6.532;0.11;0.002;1;2.6
5.968;0.121;0.006;1;15.7
4.354;0.048;0.023;1;5.2
3.952;0.041;-0.015;0;-
8.891;0.177;-0.031;0;-
2.611;0.019;0.001;1;0.3
5.488;0.077;0.005;1;5.2
8.956;0.194;0.116;1;11.5
4.938;0.078;0.021;1;99
6.582;0.132;-0.047;0;-
4.295;0.061;0.016;1;2.1
6.837;0.111;0.07;1;15.7
3.595;0.033;0.002;1;2
8.185;0.171;-0.03;0;-
4.939;0.065;0.022;1;2.3
7.876;0.171;-0.002;0;-
5.384;0.087;0.061;1;11.5
4.43;0.046;-0.01;0;-
8.717;0.201;0.002;1;32.3
2.314;0.015;0.015;1;0.3
6.092;0.105;0.021;1;49
6.727;0.127;0.052;1;4.3
6.975;0.169;-0.013;0;-
6.987;0.123;0.08;1;32.3
4.639;0.053;0.011;1;0.5
6.45;0.103;0.004;1;2.3
8.438;0.158;0.026;1;13.3
8.09;0.133;0.096;1;8.1
4.793;0.059;0.046;1;3.5
