LC_R2_null	LC_R2_env	LC_Q	LC_pQ	LC_BF
0.045 [0.000, 0.187]	0.083 [0.022, 0.165]	0.038 [-0.148, 0.154]	0.81	4.3
0.037 [0.000, 0.169]	0.078 [0.011, 0.175]	0.041 [-0.096, 0.208]	0.83	4.9
0.028 [0.000, 0.122]	0.083 [0.006, 0.154]	0.055 [-0.073, 0.139]	0.92	11.5
0.041 [0.000, 0.154]	0.078 [0.010, 0.184]	0.037 [-0.120, 0.220]	0.76	3.2
0.092 [0.000, 0.427]	0.095 [0.012, 0.325]	0.002 [-0.460, 0.182]	0.63	1.7
0.016 [0.000, 0.075]	0.079 [0.014, 0.154]	0.064 [-0.028, 0.170]	0.94	15.7
0.022 [0.000, 0.089]	0.094 [0.003, 0.201]	0.072 [-0.085, 0.181]	0.91	10.1
0.007 [0.000, 0.029]	0.081 [0.013, 0.143]	0.074 [0.019, 0.169]	0.98	49.0
0.082 [0.000, 0.354]	0.093 [0.010, 0.191]	0.011 [-0.298, 0.179]	0.71	2.4
0.033 [0.000, 0.087]	0.078 [0.009, 0.154]	0.045 [-0.030, 0.256]	0.89	8.1
