CGT_R2_null;CGT_R2_env;CGT_Q;CGT_pQ;CGT_BF
0.098 [0, 0.386];0.13 [0.008, 0.433];0.032 [-0.301, 0.439];0.62;1.6
0.061 [0, 0.234];0.125 [0.001, 0.436];0.064 [-0.312, 0.412];0.7;2.3
0.046 [0, 0.205];0.065 [0, 0.311];0.018 [-0.273, 0.303];0.53;1.1
0.08 [0, 0.273];0.119 [0, 0.41];0.039 [-0.219, 0.353];0.66;1.9
0.111 [0.002, 0.38];0.155 [0.005, 0.469];0.043 [-0.278, 0.493];0.66;1.9
0.039 [0, 0.211];0.051 [0.001, 0.217];0.013 [-0.188, 0.26];0.71;2.4
0.048 [0, 0.136];0.079 [0, 0.356];0.031 [-0.135, 0.442];0.6;1.5
0.019 [0, 0.057];0.034 [0, 0.128];0.015 [-0.053, 0.133];0.7;2.3
0.211 [0, 0.537];0.253 [0.006, 0.611];0.041 [-0.528, 0.527];0.53;1.1
0.057 [0, 0.2];0.085 [0.001, 0.257];0.028 [-0.182, 0.259];0.6;1.5
