CGT_R2_null	CGT_R2_env	CGT_Q	CGT_pQ	CGT_BF
0.152 [0.091, 0.225]	0.223 [0.133, 0.332]	0.070 [-0.039, 0.206]	0.88	7.1
0.160 [0.096, 0.229]	0.231 [0.145, 0.320]	0.071 [-0.041, 0.187]	0.89	8.4
0.161 [0.094, 0.241]	0.238 [0.143, 0.337]	0.077 [-0.045, 0.209]	0.89	8.3
0.171 [0.105, 0.242]	0.248 [0.166, 0.354]	0.077 [-0.036, 0.202]	0.90	9.2
0.195 [0.130, 0.271]	0.261 [0.164, 0.355]	0.066 [-0.039, 0.205]	0.86	6.3
0.151 [0.089, 0.226]	0.231 [0.131, 0.342]	0.080 [-0.033, 0.227]	0.89	8.1
0.166 [0.101, 0.248]	0.243 [0.147, 0.341]	0.077 [-0.040, 0.203]	0.91	9.7
0.171 [0.107, 0.251]	0.247 [0.159, 0.357]	0.076 [-0.047, 0.211]	0.89	8.5
0.141 [0.069, 0.209]	0.213 [0.126, 0.306]	0.072 [-0.058, 0.184]	0.90	9.0
0.155 [0.100, 0.223]	0.236 [0.134, 0.333]	0.081 [-0.041, 0.197]	0.91	9.7
