CS_beta_env;CS_R2_env;CS_Q;CS_pQ;CS_BF
20.555 [18.273, 21.907];0.372 [0.293, 0.419];0.285 [0.216, 0.324];1;Inf
20.173 [18.732, 21.381];0.392 [0.338, 0.43];0.302 [0.255, 0.338];1;Inf
23.689 [21.456, 27.223];0.454 [0.374, 0.513];0.344 [0.269, 0.396];1;Inf
19.951 [18.114, 21.718];0.426 [0.353, 0.484];0.294 [0.228, 0.346];1;Inf
18.562 [17.506, 19.65];0.374 [0.332, 0.415];0.285 [0.245, 0.325];1;Inf
23.479 [20.965, 25.489];0.428 [0.333, 0.501];0.329 [0.24, 0.407];1;Inf
18.074 [16.912, 19.952];0.454 [0.373, 0.491];0.292 [0.223, 0.328];1;Inf
20.476 [18.839, 22.455];0.474 [0.436, 0.498];0.329 [0.292, 0.354];1;Inf
20.23 [18.697, 23.499];0.474 [0.431, 0.499];0.33 [0.299, 0.359];1;Inf
19.785 [18.386, 21.092];0.41 [0.333, 0.457];0.303 [0.247, 0.36];1;Inf
