CS_R2_null	CS_R2_env	CS_Q	CS_pQ	CS_BF
0.760 [0.706, 0.807]	0.251 [0.131, 0.344]	-0.510 [-0.670, -0.406]	0.00	0.0
0.760 [0.693, 0.819]	0.245 [0.096, 0.387]	-0.515 [-0.624, -0.327]	0.00	0.0
0.663 [0.515, 0.774]	0.261 [0.140, 0.362]	-0.402 [-0.556, -0.205]	0.00	0.0
0.744 [0.670, 0.807]	0.233 [0.131, 0.306]	-0.511 [-0.607, -0.410]	0.00	0.0
0.728 [0.652, 0.791]	0.218 [0.134, 0.310]	-0.511 [-0.623, -0.406]	0.00	0.0
0.699 [0.578, 0.789]	0.258 [0.166, 0.379]	-0.441 [-0.575, -0.248]	0.00	0.0
0.732 [0.650, 0.796]	0.240 [0.146, 0.341]	-0.493 [-0.618, -0.372]	0.00	0.0
0.732 [0.671, 0.786]	0.219 [0.125, 0.347]	-0.513 [-0.634, -0.361]	0.00	0.0
0.748 [0.674, 0.815]	0.222 [0.160, 0.285]	-0.526 [-0.617, -0.427]	0.00	0.0
0.723 [0.656, 0.786]	0.243 [0.132, 0.363]	-0.480 [-0.561, -0.306]	0.00	0.0
